Arbol_04=[0.0008435768915737378, 1.03192513231995e-08, 1.2567072172390596e-10, 5.1309233472498974e-11, 3.9050179892131014e-21, 4.957468560426592e-15, -1.313872440776271e-21]
Pinguino_01=[0.0010174286298152947, 4.639011865314843e-07, 1.373836301185541e-10, 2.570680916598357e-11, 1.4730540111108968e-21, 1.7508981161623286e-14, 4.0496565198489794e-22]
Tri_09=[0.0007567969647416187, 2.618617851355061e-10, 2.804577586492541e-10, 2.8224059379905636e-14, 7.596960555809985e-26, 4.559104095737298e-19, -2.3113013173547234e-26]
Flecha_02=[0.0006836144228385099, 9.409410025761091e-09, 1.1185935935222637e-11, 4.841060612537425e-13, 1.1211549093324866e-24, 4.681163037963901e-17, -1.1002706256610669e-25]
Silueta_Perfil_01=[0.0007762950416365035, 8.66599132479475e-09, 1.2856288610319778e-10, 3.1970429107395928e-12, -4.8376156685375024e-23, 2.5773194191675953e-16, 4.3137315905335525e-23]
Circulo_02=[0.0006241329849115875, 2.5947481034225655e-15, 5.562796451437929e-17, 2.26125319074074e-22, -2.536123355185131e-41, 1.1518523011517245e-29, 0.0]
Simetria_01=[0.0007170306904834476, 9.16750796647679e-09, 7.577500601198395e-12, 5.98507633427817e-14, -4.333694543167226e-28, -5.7211282775497715e-18, -4.030346872946923e-26]
Gato_08=[0.00102123539171053, 4.754147730140626e-07, 1.2886581659680386e-11, 2.7860975531901315e-11, 5.271574154666111e-22, 1.9139476282418538e-14, -2.825705449464046e-23]
Gato_09=[0.000932374427345198, 7.628398249510564e-08, 1.3594055081814795e-10, 1.7649846648949534e-11, -7.25221469105232e-22, -4.401092124695065e-15, 4.706230695730681e-22]
Sirena_01=[0.003959560364003168, 1.044507404778878e-05, 2.0050220857655414e-08, 1.0041771696596691e-08, 1.360780511318613e-16, 2.9778855600487556e-11, 4.225275607059972e-17]
Flecha_03=[0.0009068806114372798, 1.3282288432741456e-09, 7.048517260784461e-10, 9.41681475044105e-12, -7.671935169834982e-22, 3.4319462737100415e-16, 1.585924026040272e-35]
Tri_08=[0.0010887842091519286, 4.249383216569935e-11, 1.9646777441122686e-09, 3.5386921960725847e-14, 1.8971352873002165e-25, 1.8463120438009337e-19, 2.2598447514998255e-25]
Mont_4=[0.000790912174759397, 5.737454678444099e-08, 2.2633667434447083e-10, 2.7433878342862253e-12, 3.737947914660439e-23, 2.1262068352393257e-17, 5.723633528997538e-23]
Arbol_05=[0.0006994290222111152, 4.505005106052827e-11, 2.0705550606737556e-11, 6.050308858891553e-12, 6.75738687275704e-23, 4.0225139985607636e-17, -4.429195475660465e-24]
Arbol_07=[0.0008155848786296388, 2.3389842395279958e-08, 1.411579575788158e-10, 3.3678506496410535e-11, 2.3164978830613882e-21, 5.1046278606403885e-15, -1.6127868588886287e-22]
Flecha_01=[0.0009138147860828846, 2.6263417574620708e-08, 6.511637985248333e-10, 2.4041213741175058e-12, -9.500936701111587e-23, 3.894577726571663e-16, -4.6219442649071764e-24]
Silueta_Perfil_02=[0.0008197332518705843, 7.527361670131392e-08, 1.313784472781112e-10, 7.060608979801852e-12, 2.0946360536709854e-22, 1.4139357628996587e-15, 4.866711879957256e-23]
Circulo_01=[0.0006241375971264052, 3.7188417392695566e-15, 1.487287907433652e-17, 6.855664168599535e-24, 6.83843148122333e-44, 2.7187878894603398e-31, 1.0764835332968925e-44]
Simetria_02=[0.0012217295297364586, 1.1647306511896844e-07, 1.771144130514653e-10, 3.898212755255128e-11, -3.2388756019456084e-21, -1.3303434347177038e-14, 3.8694837905676603e-23]
Sirena_02=[0.0017757288557077168, 1.8410300743294211e-06, 9.627971803380016e-10, 9.032060900153751e-10, 8.381830144250901e-19, 1.202628006918375e-12, -8.28015121556093e-20]
Simetria_03=[0.0009859071618942522, 4.060584303473278e-10, 3.0241699347415755e-10, 3.247929738139582e-11, -3.2188471614187333e-21, 6.544818256745852e-16, -2.459583974854536e-23]
Silueta_Perfil_03=[0.0015770477830427286, 1.2314813329589277e-06, 9.474161756345659e-11, 7.362141931586988e-11, 2.3321747404833322e-21, 5.1697981708070846e-14, -5.689140425071647e-21]
Arbol_06=[0.0006889145190926697, 5.681378412828508e-10, 2.446165162534493e-12, 3.7915309262517196e-12, 1.0797693251084802e-23, 8.702185012818014e-17, 4.0914965685770856e-24]
Arbol_02=[0.0007750663228379281, 6.89679701535441e-08, 1.6469803212764553e-10, 7.60882049559719e-12, 2.6935200507492976e-22, 1.998209689533934e-15, 9.82873539274271e-36]
Bailarin_01=[0.0016505424652287761, 1.3523685828078218e-06, 1.6318531125587206e-10, 1.6962261283126475e-10, 2.627658070779351e-20, 1.0954281230401667e-13, 1.0292873659341054e-20]
Gallina_03=[0.0008920975868907453, 1.1881258872771018e-07, 2.1141748332844362e-10, 1.1157169404240946e-11, -2.384604966196375e-22, 2.4096271260025777e-15, -4.865884495247174e-22]
Flecha_04=[0.0008494114010006743, 7.006298428124737e-10, 5.462602921315112e-10, 5.223262132861321e-12, -2.7900367988975395e-22, -1.3825093410734887e-16, 9.68679383461284e-25]
Mariposa_03=[0.0008646680356910862, 3.181605220982433e-08, 7.551999348894953e-11, 1.137157057988984e-11, -3.3323515810619447e-22, -2.0283045763858975e-15, -2.3537363707343526e-24]
Mariposa_02=[0.001231612738795817, 1.0231994822653665e-07, 4.4927009211572336e-10, 2.9844254485351997e-13, 3.450705303758486e-24, -9.538804443057417e-17, -1.870311025347867e-25]
Cuadrado_01=[0.0006535461985031824, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
